2024-10-11 15:00:46,656 - ERROR: Error occurred at 2024-10-11 15:00:46 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-11 15:14:40,202 - ERROR: Error occurred at 2024-10-11 15:14:40 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-11 15:26:12,382 - ERROR: Error occurred at 2024-10-11 15:26:12 - TCP IP: 10.68.110.106, Port: 2404, Run: 2, METERID: MET0309. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device d333333f800000abe4010308670944d804dc0320a5ac!
2024-10-11 15:26:27,460 - ERROR: Error occurred at 2024-10-11 15:26:27 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-11 15:26:42,540 - ERROR: Error occurred at 2024-10-11 15:26:42 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-11 15:34:37,312 - ERROR: Error occurred at 2024-10-11 15:34:37 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-11 15:42:58,117 - ERROR: Error occurred at 2024-10-11 15:42:58 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-11 15:43:48,891 - ERROR: Error occurred at 2024-10-11 15:43:48 - TCP IP: 10.68.111.7, Port: 4003, Run: 3, METERID: MET0146. Error: TimeoutError: timed out
2024-10-12 15:00:46,468 - ERROR: Error occurred at 2024-10-12 15:00:46 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-12 15:14:39,233 - ERROR: Error occurred at 2024-10-12 15:14:39 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-12 15:26:40,450 - ERROR: Error occurred at 2024-10-12 15:26:40 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-12 15:26:55,557 - ERROR: Error occurred at 2024-10-12 15:26:55 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-12 15:34:48,430 - ERROR: Error occurred at 2024-10-12 15:34:48 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-12 15:43:10,517 - ERROR: Error occurred at 2024-10-12 15:43:10 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
