2024-10-11 15:00:33,163 - ERROR: Error occurred at 2024-10-11 15:00:33 - TCP IP: 10.68.110.163, Port: 2402, Run: 1, METERID: MET0363. Error: TimeoutError: timed out
2024-10-11 15:04:02,685 - ERROR: Error occurred at 2024-10-11 15:04:02 - TCP IP: 10.68.110.90, Port: 2404, Run: 2, METERID: MET0408. Error: ValueError: invalid literal for int() with base 16: ''
2024-10-11 15:06:36,681 - ERROR: Error occurred at 2024-10-11 15:06:36 - TCP IP: 10.68.110.236, Port: 4001, Run: 1, METERID: MET0138. Error: TimeoutError: timed out
2024-10-11 15:06:55,164 - ERROR: Error occurred at 2024-10-11 15:06:55 - TCP IP: 10.68.110.236, Port: 4002, Run: 2, METERID: MET0138. Error: TimeoutError: timed out
2024-10-11 15:16:39,745 - ERROR: Error occurred at 2024-10-11 15:16:39 - TCP IP: 10.72.191.247, Port: 4001, Run: 1, METERID: MET0591. Error: TimeoutError: timed out
2024-10-11 15:20:56,456 - ERROR: Error occurred at 2024-10-11 15:20:56 - TCP IP: 10.68.111.144, Port: 2402, Run: 1, METERID: MET0151. Error: TimeoutError: timed out
2024-10-11 15:21:00,686 - ERROR: Error occurred at 2024-10-11 15:21:00 - TCP IP: 10.68.111.144, Port: 2404, Run: 2, METERID: MET0151. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fefe!
2024-10-11 15:23:24,308 - ERROR: Error occurred at 2024-10-11 15:23:24 - TCP IP: 10.68.111.253, Port: 2404, Run: 2, METERID: MET0720. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fffffbfffffb!
2024-10-11 15:27:45,736 - ERROR: Error occurred at 2024-10-11 15:27:45 - TCP IP: 10.68.111.217, Port: 2404, Run: 2, METERID: MET0314. Error: ValueError: NaTType does not support strftime
2024-10-11 15:30:13,791 - ERROR: Error occurred at 2024-10-11 15:30:13 - TCP IP: 10.68.110.136, Port: 2402, Run: 1, METERID: MET0734. Error: TimeoutError: timed out
2024-10-11 15:30:16,419 - ERROR: Error occurred at 2024-10-11 15:30:16 - TCP IP: 10.68.110.136, Port: 2404, Run: 2, METERID: MET0734. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfbdb5bffdfbbf5!
