2024-10-11 21:00:34,943 - ERROR: Error occurred at 2024-10-11 21:00:34 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-11 21:02:04,381 - ERROR: Error occurred at 2024-10-11 21:02:04 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-11 21:02:10,502 - ERROR: Error occurred at 2024-10-11 21:02:10 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-12 21:00:35,988 - ERROR: Error occurred at 2024-10-12 21:00:35 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-12 21:01:36,300 - ERROR: Error occurred at 2024-10-12 21:01:36 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-12 21:01:41,840 - ERROR: Error occurred at 2024-10-12 21:01:41 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-13 21:00:42,478 - ERROR: Error occurred at 2024-10-13 21:00:42 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond
2024-10-13 21:02:12,427 - ERROR: Error occurred at 2024-10-13 21:02:12 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-13 21:02:18,009 - ERROR: Error occurred at 2024-10-13 21:02:17 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-14 21:00:36,370 - ERROR: Error occurred at 2024-10-14 21:00:36 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-14 21:01:37,812 - ERROR: Error occurred at 2024-10-14 21:01:37 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-14 21:01:43,162 - ERROR: Error occurred at 2024-10-14 21:01:43 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-15 21:00:35,763 - ERROR: Error occurred at 2024-10-15 21:00:35 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-15 21:01:49,997 - ERROR: Error occurred at 2024-10-15 21:01:49 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-15 21:02:23,003 - ERROR: Error occurred at 2024-10-15 21:02:22 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-15 21:03:23,966 - ERROR: Error occurred at 2024-10-15 21:03:23 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
