2024-10-11 21:01:00,590 - ERROR: Error occurred at 2024-10-11 21:01:00 - TCP IP: 10.68.110.236, Port: 4001, Run: 1, METERID: MET0138. Error: TimeoutError: timed out
2024-10-11 21:01:19,435 - ERROR: Error occurred at 2024-10-11 21:01:19 - TCP IP: 10.68.110.236, Port: 4002, Run: 2, METERID: MET0138. Error: TimeoutError: timed out
2024-10-11 21:01:21,673 - ERROR: Error occurred at 2024-10-11 21:01:21 - TCP IP: 10.72.191.247, Port: 4001, Run: 1, METERID: MET0591. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-11 21:01:40,194 - ERROR: Error occurred at 2024-10-11 21:01:40 - TCP IP: 10.68.111.144, Port: 2402, Run: 1, METERID: MET0151. Error: TimeoutError: timed out
2024-10-11 21:01:43,295 - ERROR: Error occurred at 2024-10-11 21:01:43 - TCP IP: 10.68.111.144, Port: 2404, Run: 2, METERID: MET0151. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fefe!
2024-10-11 21:01:46,393 - ERROR: Error occurred at 2024-10-11 21:01:46 - TCP IP: 10.68.111.253, Port: 2404, Run: 2, METERID: MET0720. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-11 21:02:05,508 - ERROR: Error occurred at 2024-10-11 21:02:05 - TCP IP: 10.68.111.217, Port: 2404, Run: 2, METERID: MET0314. Error: ValueError: NaTType does not support strftime
2024-10-11 21:02:23,677 - ERROR: Error occurred at 2024-10-11 21:02:23 - TCP IP: 10.68.110.136, Port: 2402, Run: 1, METERID: MET0734. Error: TimeoutError: timed out
2024-10-11 21:02:27,540 - ERROR: Error occurred at 2024-10-11 21:02:27 - TCP IP: 10.68.110.136, Port: 2404, Run: 2, METERID: MET0734. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfbdb5bffdfbbf5!
2024-10-11 21:02:45,667 - ERROR: Error occurred at 2024-10-11 21:02:45 - TCP IP: 10.68.111.100, Port: 2402, Run: 1, METERID: MET0348. Error: TimeoutError: timed out
2024-10-11 21:03:03,764 - ERROR: Error occurred at 2024-10-11 21:03:03 - TCP IP: 10.68.111.100, Port: 2404, Run: 2, METERID: MET0348. Error: TimeoutError: timed out
