2024-10-11 22:00:09,065 - ERROR: Error occurred at 2024-10-11 22:00:09 - TCP IP: 10.68.110.73, Port: 4001, Run: 1, METERID: MET0712. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device cf0103083f80000000010002874a!
2024-10-11 22:00:31,267 - ERROR: Error occurred at 2024-10-11 22:00:31 - TCP IP: 10.68.111.117, Port: 2402, Run: 1, METERID: MET0455. Error: TimeoutError: timed out
2024-10-11 22:00:51,321 - ERROR: Error occurred at 2024-10-11 22:00:51 - TCP IP: 10.68.111.248, Port: 2402, Run: 1, METERID: MET0603. Error: TimeoutError: timed out
2024-10-12 22:00:23,922 - ERROR: Error occurred at 2024-10-12 22:00:23 - TCP IP: 10.68.110.73, Port: 4001, Run: 1, METERID: MET0712. Error: TimeoutError: timed out
2024-10-12 22:00:34,422 - ERROR: Error occurred at 2024-10-12 22:00:34 - TCP IP: 10.68.110.73, Port: 4002, Run: 2, METERID: MET0712. Error: TimeoutError: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond
2024-10-12 22:00:54,477 - ERROR: Error occurred at 2024-10-12 22:00:54 - TCP IP: 10.68.111.118, Port: 2402, Run: 1, METERID: MET0125. Error: TimeoutError: timed out
2024-10-12 22:01:16,587 - ERROR: Error occurred at 2024-10-12 22:01:16 - TCP IP: 10.68.110.115, Port: 2404, Run: 2, METERID: MET0361. Error: TimeoutError: timed out
2024-10-12 22:01:36,643 - ERROR: Error occurred at 2024-10-12 22:01:36 - TCP IP: 10.68.111.248, Port: 2402, Run: 1, METERID: MET0603. Error: TimeoutError: timed out
2024-10-13 22:00:23,361 - ERROR: Error occurred at 2024-10-13 22:00:23 - TCP IP: 10.68.110.73, Port: 4001, Run: 1, METERID: MET0712. Error: TimeoutError: timed out
2024-10-13 22:00:43,401 - ERROR: Error occurred at 2024-10-13 22:00:43 - TCP IP: 10.68.110.73, Port: 4002, Run: 2, METERID: MET0712. Error: TimeoutError: timed out
2024-10-13 22:01:03,442 - ERROR: Error occurred at 2024-10-13 22:01:03 - TCP IP: 10.68.111.118, Port: 2402, Run: 1, METERID: MET0125. Error: TimeoutError: timed out
2024-10-13 22:01:23,488 - ERROR: Error occurred at 2024-10-13 22:01:23 - TCP IP: 10.68.111.248, Port: 2402, Run: 1, METERID: MET0603. Error: TimeoutError: timed out
2024-10-14 22:00:22,210 - ERROR: Error occurred at 2024-10-14 22:00:22 - TCP IP: 10.68.110.73, Port: 4001, Run: 1, METERID: MET0712. Error: TimeoutError: timed out
2024-10-14 22:00:42,272 - ERROR: Error occurred at 2024-10-14 22:00:42 - TCP IP: 10.68.110.73, Port: 4002, Run: 2, METERID: MET0712. Error: TimeoutError: timed out
2024-10-14 22:01:02,313 - ERROR: Error occurred at 2024-10-14 22:01:02 - TCP IP: 10.68.111.248, Port: 2402, Run: 1, METERID: MET0603. Error: TimeoutError: timed out
2024-10-15 22:00:22,840 - ERROR: Error occurred at 2024-10-15 22:00:22 - TCP IP: 10.68.110.73, Port: 4001, Run: 1, METERID: MET0712. Error: TimeoutError: timed out
2024-10-15 22:00:42,882 - ERROR: Error occurred at 2024-10-15 22:00:42 - TCP IP: 10.68.110.73, Port: 4002, Run: 2, METERID: MET0712. Error: TimeoutError: timed out
2024-10-15 22:01:05,004 - ERROR: Error occurred at 2024-10-15 22:01:04 - TCP IP: 10.68.111.117, Port: 2402, Run: 1, METERID: MET0455. Error: TimeoutError: timed out
2024-10-15 22:01:25,058 - ERROR: Error occurred at 2024-10-15 22:01:25 - TCP IP: 10.68.111.248, Port: 2402, Run: 1, METERID: MET0603. Error: TimeoutError: timed out
2024-10-16 22:00:31,422 - ERROR: Error occurred at 2024-10-16 22:00:31 - TCP IP: 10.68.110.208, Port: 2402, Run: 1, METERID: MET0528. Error: ValueError: invalid literal for int() with base 16: ''
