2024-10-25 22:00:05,516 - ERROR: Error occurred at 2024-10-25 22:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-26 22:00:06,625 - ERROR: Error occurred at 2024-10-26 22:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-27 22:00:06,360 - ERROR: Error occurred at 2024-10-27 22:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-28 22:00:06,458 - ERROR: Error occurred at 2024-10-28 22:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-29 22:00:06,801 - ERROR: Error occurred at 2024-10-29 22:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-30 22:00:06,480 - ERROR: Error occurred at 2024-10-30 22:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-31 22:00:06,350 - ERROR: Error occurred at 2024-10-31 22:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-01 22:00:05,848 - ERROR: Error occurred at 2024-11-01 22:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-02 22:00:06,879 - ERROR: Error occurred at 2024-11-02 22:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-03 22:00:10,321 - ERROR: Error occurred at 2024-11-03 22:00:10 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-04 22:00:05,180 - ERROR: Error occurred at 2024-11-04 22:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-05 22:00:06,016 - ERROR: Error occurred at 2024-11-05 22:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
