2024-10-11 22:00:43,363 - ERROR: Error occurred at 2024-10-11 22:00:43 - TCP IP: 10.72.191.247, Port: 4001, Run: 1, METERID: MET0591. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-11 22:01:01,464 - ERROR: Error occurred at 2024-10-11 22:01:01 - TCP IP: 10.68.111.144, Port: 2402, Run: 1, METERID: MET0151. Error: TimeoutError: timed out
2024-10-11 22:01:04,573 - ERROR: Error occurred at 2024-10-11 22:01:04 - TCP IP: 10.68.111.144, Port: 2404, Run: 2, METERID: MET0151. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fefe!
2024-10-11 22:01:07,667 - ERROR: Error occurred at 2024-10-11 22:01:07 - TCP IP: 10.68.111.253, Port: 2404, Run: 2, METERID: MET0720. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-10-11 22:01:26,554 - ERROR: Error occurred at 2024-10-11 22:01:26 - TCP IP: 10.68.111.217, Port: 2404, Run: 2, METERID: MET0314. Error: ValueError: NaTType does not support strftime
2024-10-11 22:01:38,744 - ERROR: Error occurred at 2024-10-11 22:01:38 - TCP IP: 10.68.110.136, Port: 2402, Run: 1, METERID: MET0734. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-11 22:01:41,849 - ERROR: Error occurred at 2024-10-11 22:01:41 - TCP IP: 10.68.110.136, Port: 2404, Run: 2, METERID: MET0734. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfbdb5bffdfbbf5!
2024-10-11 22:02:31,434 - ERROR: Error occurred at 2024-10-11 22:02:31 - TCP IP: 10.68.111.222, Port: 2402, Run: 1, METERID: MET0482. Error: TimeoutError: timed out
2024-10-11 22:04:00,048 - ERROR: Error occurred at 2024-10-11 22:04:00 - TCP IP: 10.68.110.28, Port: 2404, Run: 2, METERID: MET0386. Error: TimeoutError: timed out
2024-10-11 22:04:18,140 - ERROR: Error occurred at 2024-10-11 22:04:18 - TCP IP: 10.68.110.115, Port: 2402, Run: 1, METERID: MET0361. Error: TimeoutError: timed out
2024-10-11 22:05:24,780 - ERROR: Error occurred at 2024-10-11 22:05:24 - TCP IP: 10.68.110.124, Port: 2402, Run: 1, METERID: MET0538. Error: TimeoutError: timed out
2024-10-11 22:05:42,883 - ERROR: Error occurred at 2024-10-11 22:05:42 - TCP IP: 10.68.110.124, Port: 2404, Run: 2, METERID: MET0538. Error: TimeoutError: timed out
2024-10-11 22:05:57,948 - ERROR: Error occurred at 2024-10-11 22:05:57 - TCP IP: 10.68.111.248, Port: 2404, Run: 2, METERID: MET0603. Error: TimeoutError: timed out
2024-10-12 22:00:18,755 - ERROR: Error occurred at 2024-10-12 22:00:18 - TCP IP: 10.72.191.164, Port: 2402, Run: 1, METERID: MET0119. Error: TimeoutError: timed out
2024-10-12 22:00:57,949 - ERROR: Error occurred at 2024-10-12 22:00:57 - TCP IP: 10.72.191.247, Port: 4001, Run: 1, METERID: MET0591. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-12 22:01:16,062 - ERROR: Error occurred at 2024-10-12 22:01:16 - TCP IP: 10.68.111.144, Port: 2402, Run: 1, METERID: MET0151. Error: TimeoutError: timed out
